energy (keV),counts
0.0,0
0.0411485509846334,0
0.0822971019692668,0
0.1234456529539002,0
0.1645942039385336,0
0.20574275492316701,0
0.2468913059078004,0
0.28803985689243383,0
0.3291884078770672,0
0.3703369588617006,0
0.41148550984633403,0
0.4526340608309674,0
0.4937826118156008,1820993
0.5349311628002342,1228338
0.5760797137848677,598784
0.617228264769501,275121
0.6583768157541344,126013
0.6995253667387679,60807
0.7406739177234012,32823
0.7818224687080346,21168
0.8229710196926681,16148
0.8641195706773014,12801
0.9052681216619348,10389
0.9464166726465683,8631
0.9875652236312016,7126
1.028713774615835,6059
1.0698623256004685,5137
1.111010876585102,4536
1.1521594275697353,3915
1.1933079785543685,3624
1.234456529539002,3439
1.2756050805236354,3322
1.3167536315082689,3069
1.3579021824929023,2865
1.3990507334775357,2514
1.4401992844621692,2154
1.4813478354468024,1606
1.5224963864314358,1347
1.5636449374160692,982
1.6047934884007027,810
1.6459420393853361,674
1.6870905903699696,578
1.7282391413546028,426
1.7693876923392362,406
1.8105362433238696,373
1.851684794308503,291
1.8928333452931365,228
1.93398189627777,237
1.9751304472624032,181
2.016278998247037,150
2.05742754923167,121
2.0985761002163037,82
2.139724651200937,62
2.18087320218557,53
2.222021753170204,22
2.263170304154837,14
2.3043188551394707,7
2.345467406124104,8
2.386615957108737,4
2.4277645080933707,12
2.468913059078004,4
2.5100616100626376,6
2.551210161047271,6
2.5923587120319045,7
2.6335072630165377,10
2.674655814001171,6
2.7158043649858046,9
2.756952915970438,12
2.7981014669550714,9
2.8392500179397047,5
2.8803985689243383,11
2.9215471199089715,5
2.9626956708936047,11
3.0038442218782384,3
3.0449927728628716,7
3.0861413238475053,9
3.1272898748321385,9
3.1684384258167717,10
3.2095869768014054,9
3.2507355277860386,12
3.2918840787706722,14
3.3330326297553055,9
3.374181180739939,8
3.4153297317245723,12
3.4564782827092055,11
3.497626833693839,10
3.5387753846784724,8
3.579923935663106,10
3.6210724866477393,4
3.662221037632373,13
3.703369588617006,10
3.7445181396016394,9
